Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit, Profit % ,Cost
Consumer,Kentucky,South,Furniture,Bookcases,261.96,2,0,41.9136, 0.16 , 220.05 
Consumer,Kentucky,South,Furniture,Chairs,731.94,3,0,219.582, 0.30 , 512.36 
Corporate,California,West,Office Supplies,Labels,14.62,2,0,6.8714, 0.47 , 7.75 
Consumer,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031, (0.40)," 1,340.61 "
Consumer,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164, 0.11 , 19.85 
Consumer,California,West,Furniture,Furnishings,48.86,7,0,14.1694, 0.29 , 34.69 
Consumer,California,West,Office Supplies,Art,7.28,4,0,1.9656, 0.27 , 5.31 
Consumer,California,West,Technology,Phones,907.152,6,0.2,90.7152, 0.10 , 816.44 
Consumer,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825, 0.31 , 12.72 
Consumer,California,West,Office Supplies,Appliances,114.9,5,0,34.47, 0.30 , 80.43 
Consumer,California,West,Furniture,Tables,1706.184,9,0.2,85.3092, 0.05 ," 1,620.87 "
Consumer,California,West,Technology,Phones,911.424,4,0.2,68.3568, 0.08 , 843.07 
Consumer,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432, 0.35 , 10.11 
Consumer,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922, 0.33 , 275.38 
Home Office,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858, (1.80), 192.67 
Home Office,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816, (1.50), 6.36 
Consumer,Wisconsin,Central,Office Supplies,Storage,665.88,6,0,13.3176, 0.02 , 652.56 
Consumer,Utah,West,Office Supplies,Storage,55.5,2,0,9.99, 0.18 , 45.51 
Consumer,California,West,Office Supplies,Art,8.56,2,0,2.4824, 0.29 , 6.08 
Consumer,California,West,Technology,Phones,213.48,3,0.2,16.011, 0.08 , 197.47 
Consumer,California,West,Office Supplies,Binders,22.72,4,0.2,7.384, 0.33 , 15.34 
Corporate,Nebraska,Central,Office Supplies,Art,19.46,7,0,5.0596, 0.26 , 14.40 
Corporate,Nebraska,Central,Office Supplies,Appliances,60.34,7,0,15.6884, 0.26 , 44.65 
Consumer,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196, (0.01), 72.39 
Consumer,Utah,West,Furniture,Tables,1044.63,3,0,240.2649, 0.23 , 804.37 
Consumer,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224, 0.36 , 7.43 
Consumer,California,West,Technology,Accessories,90.57,3,0,11.7741, 0.13 , 78.80 
Consumer,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522, (0.54)," 4,748.48 "
Consumer,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532, (0.73), 16.67 
Consumer,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525, 0.13 , 108.68 
Consumer,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016, 0.34 , 2.16 
Consumer,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092, 0.11 , 76.59 
Consumer,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715, (0.83), 12.57 
Consumer,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.546, 0.23 , 12.21 
Home Office,Texas,Central,Office Supplies,Paper,29.472,3,0.2,9.9468, 0.34 , 19.53 
Corporate,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737, 0.11 , 974.07 
Corporate,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963, (0.78), 338.88 
Home Office,Texas,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415, 0.31 , 77.91 
Home Office,Texas,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764, (0.09), 579.38 
Home Office,Texas,Central,Furniture,Chairs,212.058,3,0.3,-15.147, (0.07), 227.21 
Home Office,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564, 0.11 , 329.41 
Corporate,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564, 0.11 , 130.61 
Corporate,California,West,Office Supplies,Storage,77.88,2,0,3.894, 0.05 , 73.99 
Corporate,Florida,South,Office Supplies,Storage,95.616,2,0.2,9.5616, 0.10 , 86.05 
